LAD20NM,rtrft_need_indx_reltv_indx_mean,std.dev,iqr,min,max,skewness,kurtosis,n.obs,missing.obs
Rushcliffe,0.4292,0.2359,0.273,0.1451,1.2591,1.4069,1.643,68,0
Guildford,0.4271,0.2567,0.2453,0.1365,1.5704,2.0072,5.2951,84,0
St Albans,0.4237,0.2323,0.232,0.15,1.4549,1.8264,4.2264,87,0
Reigate and Banstead,0.4228,0.2048,0.2142,0.1292,1.196,1.2993,1.7215,86,0
Horsham,0.421,0.2254,0.3081,0.1213,1.1396,1.2025,0.978,81,0
Waverley,0.4191,0.2021,0.3555,0.1461,0.8884,0.6719,-0.6638,82,0
Mole Valley,0.4161,0.1889,0.2326,0.1874,1.067,1.509,2.521,54,0
Elmbridge,0.4154,0.2906,0.2793,0.1208,1.378,1.5779,1.8094,81,0
Winchester,0.404,0.2165,0.2732,0.1384,1.1696,1.4123000000000001,2.3655,70,0
Epsom and Ewell,0.4014,0.2484,0.2216,0.1529,1.4048,2.6096,8.1016,44,0
South Oxfordshire,0.4008,0.2224,0.2242,0.1405,1.1236,1.5101,2.0931,89,0
South Northamptonshire,0.3777,0.191,0.2526,0.1213,1.0089,0.9806,1.0661,51,0
South Cambridgeshire,0.3772,0.2068,0.1593,0.1188,1.5046,2.4915,9.376,96,0
East Hertfordshire,0.3749,0.211,0.2778,0.1097,1.0664,1.2827,1.6985,84,0
Mid Sussex,0.3748,0.2118,0.2238,0.1275,1.5322,2.443,9.8827,86,0
Harborough,0.3738,0.2179,0.2883,0.1415,1.1522,1.4861,2.4025,47,0
Vale of White Horse,0.3612,0.2434,0.2028,0.1221,1.714,2.9511,12.5372,76,0
Bracknell Forest,0.3522,0.1926,0.2501,0.1069,0.9727,1.0567,0.4676,75,0
Isles of Scilly,0.3409,NA,0,0.3409,0.3409,NA,NA,1,0
Windsor and Maidenhead,0.3338,0.1967,0.2602,0.1124,1.3194,2.1017,6.8106,89,0
Uttlesford,0.332,0.1345,0.1969,0.1112,0.6056,0.4091,-0.7077,46,0
Surrey Heath,0.3232,0.1975,0.1643,0.1132,0.9108,1.4474,0.9876,55,0
Wokingham,0.2913,0.1674,0.1243,0.1168,1.1156,2.6472,8.3633,99,0
City of London,0.2747,0.2746,0.3523,0.0978,0.8055,1.9526,3.8203,6,0
Hart,0.2566,0.1203,0.1254,0.1048,0.746,2.0088,5.4937,57,0
