LAD20NM,rtrft_need_indx_reltv_indx_mean,std.dev,iqr,min,max,skewness,kurtosis,n.obs,missing.obs
South Kesteven,0.6981,0.4331,0.5336,0.1885,2.3906,1.3262,2.0225,81,0
Ashford,0.6976,0.3957,0.5331,0.1208,2.616,1.6688,5.8838,78,0
Colchester,0.6904,0.3722,0.4675,0.1082,1.8251,0.9176,0.1663,105,0
Exeter,0.6883,0.3863,0.489,0.1787,2.0201,1.1962,1.8218,74,0
Malvern Hills,0.6883,0.3647,0.5056,0.1663,1.6651,0.8892,0.0116,45,0
Dartford,0.6841,0.4023,0.5201,0.1777,1.8747,1.1391,0.4779,58,0
Milton Keynes,0.679,0.5491,0.5295,0.1005,3.6001,2.018,5.4782,152,0
Barnet,0.6777,0.3585,0.3998,0.154,2.1218,1.3762,2.1232,211,0
East Northamptonshire,0.6776,0.477,0.5698,0.1396,2.2733,1.5052,2.1731,49,0
Chichester,0.6744,0.3655,0.4671,0.2135,1.9315,1.3215,1.5958,71,0
Watford,0.6711,0.3553,0.4901,0.2045,1.9494,1.2434,2.0309,53,0
North West Leicestershire,0.6672,0.443,0.4584,0.1323,2.2612,1.4883,2.1443,58,0
Sevenoaks,0.6652,0.4402,0.5578,0.1478,2.2499,1.4168,1.8979,74,0
Bath and North East Somerset,0.6649,0.4222,0.5329,0.1366,2.2715,1.5669,2.5963,115,0
Bromley,0.6597,0.4566,0.4903,0.1603,2.3614,1.4236,1.439,197,0
Crawley,0.6592,0.3216,0.3746,0.1523,1.6441,0.8134,0.9151,66,0
Cheltenham,0.6571,0.476,0.6082,0.2027,2.3163,1.5363,1.9327,75,0
Hinckley and Bosworth,0.6549,0.4202,0.5452,0.1617,2.2363,1.3858,2.1021,66,0
New Forest,0.6514,0.3303,0.4516,0.2138,1.7303,0.9477,0.2072,114,0
Merton,0.6511,0.4243,0.5467,0.1221,2.1731,1.2296,1.4864,124,0
Maidstone,0.6498,0.4183,0.5409,0.1768,2.6074,1.7045,4.2551,95,0
North Kesteven,0.6498,0.3924,0.4456,0.1237,1.9279,1.2714,1.212,64,0
Selby,0.6486,0.4163,0.6531,0.1863,1.828,0.9839,0.0017,50,0
