acorn_LSOA2011,imd_dec,imd_inc_score,rni_N,rni,rni_min,rni_q25,rni_q50,rni_q75,rni_max,rni_add,health_vuln_need,rni_hv_min,rni_hv_q25,rni_hv_q50,rni_hv_q75,rni_hv_max,health_need,vuln_need,eligibility_pc,eligibility_sa1_pc,eligibility_sa2_pc,lowEPC_pc,poverty_pc,rni_sa1_N,rni_sa1,rni_sa2_N,rni_sa2,year,rni_demean,rni_hv_demean,rni_h_demean,rni_big_pc,rni_big_sa1_pc,rni_big_sa2_pc
E01006412,1,0.466,608,0.0426111762734045,0,0,0,0,1.27772408927448,0.0395626797527485,1.02470424423448,0.893719904344003,0.914810693120228,1.0724638852128,1.09777283174427,1.53978307214433,1.00403744865875,1.02062882554733,0.0411184210526316,0.0756578947368421,0.0416666666666667,0.0756578947368421,0.447368421052632,608,0.0763922355840845,504,0.0432051444949827,2018,0.503301373306563,1.02470424423448,1.00403744865875,0.0296052631578947,0.0444078947368421,0.0297619047619048
E01006413,1,0.462,784,0.274835102739228,0,0,0,0.893719904344003,1.11983250951441,0.233154785159253,0.975669336517336,0.893719904344003,0.893719904344003,0.914810693120228,1.0724638852128,1.50322448176854,1.00239980619454,0.973231624117173,0.289540816326531,0.585459183673469,0.288563829787234,0.585459183673469,0.448979591836735,784,0.561186494358039,752,0.273852027818015,2018,3.24621136375056,0.975669336517337,1.00239980619454,0.0778061224489796,0.170918367346939,0.0771276595744681
E01006414,1,0.335,583,0.0438527185590337,0,0,0,0,1.09777283174427,0.0431757645706168,1.0226829761257,0.893719904344003,0.893719904344003,1.0724638852128,1.09777283174427,1.50428366250687,1.00492734605326,1.01774653969824,0.0445969125214408,0.154373927958834,0.0486111111111111,0.154373927958834,0.341337907375643,583,0.157325693053887,432,0.0483743070105361,2018,0.517965834418033,1.0226829761257,1.00492734605326,0.0188679245283019,0.0857632933104631,0.0231481481481482
E01006415,2,0.247,738,0.0739009431788751,0,0,0,0,1.26173872872657,0.0734039809210043,1.00666050958038,0.893719904344003,0.893719904344003,1.0724638852128,1.0724638852128,1.34379901141729,1.00140355117404,1.0053955932673,0.0718157181571816,0.281842818428184,0.0777385159010601,0.281842818428184,0.268292682926829,738,0.286230011986286,566,0.0800581753876404,2018,0.872880062074063,1.00666050958038,1.00140355117404,0.0487804878048781,0.157181571815718,0.0547703180212014
E01006416,1,0.376,621,0.0938997105088832,0,0,0,0,1.14625930252654,0.0907652886278687,1.00795331549151,0.893719904344003,0.893719904344003,1.0724638852128,1.0724638852128,1.51408647447188,1.00701002710447,1.00095637392368,0.0933977455716586,0.238325281803543,0.105831533477322,0.238325281803543,0.394524959742351,621,0.243607622243963,463,0.107281737585212,2018,1.10909525118429,1.00795331549151,1.00701002710447,0.0515297906602254,0.136876006441224,0.0626349892008639
E01006417,1,0.418,513,0.128998832430457,0,0,0,0,1.12459017056276,0.143465621788154,0.995140254952756,0.893719904344003,0.893719904344003,0.937158475468965,1.0724638852128,1.68316793470126,1.00161069872,0.99354980446008,0.130604288499025,0.304093567251462,0.142857142857143,0.304093567251462,0.426900584795322,513,0.298362839753088,385,0.141262062124196,2018,1.52366808887449,0.995140254952757,1.00161069872,0.0565302144249513,0.124756335282651,0.0623376623376623
E01006418,1,0.345,496,0.121422992147519,0,0,0,0,1.11983250951441,0.123268682785829,1.00911996314511,0.893719904344003,0.893719904344003,1.0724638852128,1.09777283174427,1.37551116303185,1.00558530882961,1.00347735613103,0.122983870967742,0.38508064516129,0.125,0.38508064516129,0.338709677419355,496,0.385860762042619,304,0.125485331461361,2018,1.43418614653409,1.00911996314511,1.00558530882961,0.0544354838709677,0.1875,0.0690789473684211
E01006419,5,0.074,537,0.0602277775443971,0,0,0,0,1.14625930252654,0.0662324195527187,0.986362477642526,0.893719904344003,0.893719904344003,0.915552462766436,1.0724638852128,1.37612413889776,0.999370094292004,0.986959899460433,0.0614525139664804,0.588454376163873,0.0736434108527132,0.588454376163873,0.0893854748603352,537,0.578868132956533,258,0.0712894859313035,2018,0.711379637933552,0.986362477642527,0.999370094292005,0.0242085661080075,0.251396648044693,0.0271317829457364
E01006420,6,0.07,893,0.0320576993578525,0,0,0,0,1.11983250951441,0.0284966281547722,0.993733107946903,0.893719904344003,0.893719904344003,0.933193757928677,1.0724638852128,1.37551116303185,0.996464478742057,0.997332209427167,0.032474804031355,0.438969764837626,0.0258620689655172,0.438969764837626,0.0783874580067189,893,0.438513218629361,580,0.02581814408182,2018,0.378649113282668,0.993733107946904,0.996464478742058,0.0156774916013438,0.221724524076148,0.0137931034482759
E01006421,7,0.058,391,0.0328653265739237,0,0,0,0,1.11983250951441,0.0348575604885835,0.987519153130019,0.893719904344003,0.893719904344003,0.933193757928677,1.0724638852128,1.31746725127349,0.997007029993589,0.990559155725973,0.0332480818414322,0.595907928388747,0.0393258426966292,0.595907928388747,0.061381074168798,391,0.590209901259704,178,0.0383805905988713,2018,0.388188392000541,0.98751915313002,0.99700702999359,0.0153452685421995,0.271099744245524,0.0168539325842697
E01006422,5,0.105,507,0.0451206041710728,0,0,0,0,1.09866295531972,0.0390695054529108,1.01702298358938,0.893719904344003,0.893719904344003,1.0724638852128,1.0724638852128,1.37612413889776,1.00148686943655,1.0153208161116,0.0453648915187377,0.481262327416174,0.0683760683760684,0.481262327416174,0.0867850098619329,507,0.488649706344071,234,0.0690342852636668,2018,0.532941449398491,1.01702298358938,1.00148686943655,0.0236686390532544,0.274161735700197,0.0427350427350427
E01006423,6,0.054,479,0.0296750889899703,0,0,0,0,1.2326495792244,0.0291605314981372,0.997365780277029,0.893719904344003,0.893719904344003,0.937158475468965,1.0724638852128,1.54394833516456,1.00059521752818,0.996622319125347,0.0292275574112735,0.498956158663883,0.0476190476190476,0.498956158663883,0.0688935281837161,479,0.503627742421993,210,0.0487363401084788,2018,0.350506940850831,0.99736578027703,1.00059521752818,0.0167014613778706,0.269311064718163,0.0285714285714286
E01006424,6,0.065,704,0.046839340017391,0,0,0,0,1.11983250951441,0.0398301829695073,0.988496948836218,0.893719904344003,0.893719904344003,0.933193757928677,1.0724638852128,1.31732739809313,0.997216096066881,0.991369711226658,0.0482954545454545,0.596590909090909,0.0662650602409639,0.596590909090909,0.0767045454545455,704,0.590660966318575,332,0.0646724893393528,2018,0.553242276257924,0.988496948836219,0.997216096066882,0.0184659090909091,0.279829545454545,0.0271084337349398
E01006425,3,0.163,476,0.0839923398553797,0,0,0,0,1.27772408927448,0.0852951830270669,0.985828328076532,0.893719904344003,0.893719904344003,0.915552462766436,1.0724638852128,1.37551116303185,0.998685591866708,0.987210568426633,0.0840336134453782,0.460084033613445,0.0944055944055944,0.460084033613445,0.161764705882353,476,0.450382941932043,286,0.0962810423097316,2018,0.992074467158724,0.985828328076533,0.998685591866709,0.0420168067226891,0.184873949579832,0.0559440559440559
E01006426,1,0.367,554,0.099241796133377,0,0,0,0,1.11983250951441,0.0960357692270171,1.00955957472107,0.893719904344003,0.893719904344003,1.0724638852128,1.09777283174427,1.37551116303185,1.00644809600561,1.00301548388951,0.101083032490975,0.303249097472924,0.108747044917258,0.303249097472924,0.366425992779783,554,0.302872686724298,423,0.107005320877245,2018,1.17219322843509,1.00955957472107,1.00644809600561,0.0451263537906137,0.144404332129964,0.049645390070922
E01006427,5,0.123,555,0.0755649842112672,0,0,0,0,1.14625930252654,0.0770553365165727,1.01398610546697,0.893719904344003,0.893719904344003,1.0724638852128,1.0724638852128,1.34950820467531,0.999914400187659,1.01401409691454,0.0756756756756757,0.650450450450451,0.105660377358491,0.650450450450451,0.120720720720721,555,0.661548876687161,265,0.106069951497701,2018,0.892534861825839,1.01398610546697,0.99991440018766,0.0396396396396396,0.383783783783784,0.060377358490566
E01006428,2,0.277,581,0.109369648425981,0,0,0,0,1.14625930252654,0.106040565330768,1.00814704636178,0.893719904344003,0.893719904344003,1.0724638852128,1.0724638852128,1.37551116303185,1.00184307199371,1.00633346686645,0.108433734939759,0.38382099827883,0.117647058823529,0.38382099827883,0.273666092943201,581,0.387431086353571,408,0.119085419808258,2018,1.29181822857138,1.00814704636178,1.00184307199371,0.0636833046471601,0.203098106712565,0.071078431372549
E01006429,1,0.373,413,0.143415546672646,0,0,0,0,1.27772408927448,0.14774899506368,1.01440063221345,0.893719904344003,0.893719904344003,1.0724638852128,1.09312862341111,1.53326890712937,1.00341812283029,1.01093080912391,0.142857142857143,0.375302663438257,0.160883280757098,0.375302663438257,0.382566585956416,413,0.379642890134264,317,0.162907628227685,2018,1.69395092805514,1.01440063221345,1.00341812283029,0.0750605326876513,0.203389830508475,0.0914826498422713
E01006430,1,0.364,602,0.0776533412227055,0,0,0,0,1.09777283174427,0.0692770987999743,1.00604549124645,0.893719904344003,0.893719904344003,0.955216085438785,1.0724638852128,1.8394465376739,1.00669161086756,0.99911760659961,0.0780730897009967,0.215946843853821,0.0782997762863535,0.215946843853821,0.338870431893688,602,0.216183661867282,447,0.0776466234337955,2018,0.917201464434209,1.00604549124645,1.00669161086756,0.0398671096345515,0.101328903654485,0.0402684563758389
E01006431,3,0.18,700,0.10567685951169,0,0,0,0,1.14625930252654,0.110619555261889,1.00137901932048,0.893719904344003,0.893719904344003,0.955216085438785,1.0724638852128,1.40263994558439,1.00102828689899,1.00019460803483,0.105714285714286,0.467142857142857,0.117021276595745,0.467142857142857,0.207142857142857,700,0.47303016976543,470,0.118567158787874,2018,1.24820089869603,1.00137901932048,1.00102828689899,0.0542857142857143,0.252857142857143,0.0680851063829787
E01006432,1,0.339,601,0.109331788044277,0,0,0,0,1.14625930252654,0.116316553990341,1.0020546032222,0.893719904344003,0.893719904344003,0.955216085438785,1.0724638852128,1.37551116303185,1.00226404418375,0.999875003838921,0.10981697171381,0.359400998336107,0.135011441647597,0.359400998336107,0.324459234608985,601,0.361235233445522,437,0.135432656982791,2018,1.29137104114846,1.0020546032222,1.00226404418375,0.0532445923460899,0.181364392678869,0.0709382151029748
E01006433,3,0.191,610,0.0740255140093916,0,0,0,0,1.11983250951441,0.0718851777589312,0.99670196926665,0.893719904344003,0.893719904344003,0.937158475468965,1.0724638852128,1.8394465376739,1.0010900139919,0.995466181885526,0.0770491803278689,0.426229508196721,0.0685279187817259,0.426229508196721,0.19016393442623,610,0.423529232382151,394,0.0676037153270556,2018,0.874351428873951,0.996701969266651,1.0010900139919,0.0245901639344262,0.19672131147541,0.032994923857868
E01006434,1,0.361,624,0.0968778797782906,0,0,0,0,1.11983250951441,0.0896839441022479,0.995779420046282,0.893719904344003,0.893719904344003,0.937158475468965,1.0724638852128,1.50835289617019,1.00430811821005,0.991495178828757,0.0993589743589744,0.298076923076923,0.107929515418502,0.298076923076923,0.371794871794872,624,0.28949458503594,454,0.10583737531691,2018,1.14427186010057,0.995779420046283,1.00430811821005,0.0400641025641026,0.104166666666667,0.0462555066079295
E01006435,1,0.37,610,0.113655653877874,0,0,0,0,1.14625930252654,0.1146869717633,1.01229816402538,0.893719904344003,0.893719904344003,1.0724638852128,1.0724638852128,1.53326890712937,1.00519448379372,1.00682017930223,0.116393442622951,0.324590163934426,0.14572864321608,0.324590163934426,0.408196721311475,610,0.328804055231098,398,0.142492754397621,2018,1.34244232812912,1.01229816402538,1.00519448379372,0.0459016393442623,0.167213114754098,0.0603015075376884
E01006436,1,0.384,575,0.104151722586809,0,0,0,0,1.14625930252654,0.102409988208311,0.995836335537646,0.893719904344003,0.893719904344003,0.937158475468965,1.0724638852128,1.51408647447188,1.00660472587013,0.989275629959167,0.104347826086957,0.245217391304348,0.111111111111111,0.245217391304348,0.398260869565217,575,0.247167580496106,414,0.111698707625221,2018,1.23018676306532,0.995836335537647,1.00660472587013,0.0539130434782609,0.12695652173913,0.0628019323671498
E01006437,1,0.326,603,0.0994168524555452,0,0,0,0,1.11983250951441,0.0877740067223971,0.997135460442383,0.893719904344003,0.893719904344003,0.937158475468965,1.0724638852128,1.57015173890979,1.00760825605255,0.989883674130122,0.101160862354892,0.262023217247098,0.110609480812641,0.262023217247098,0.333333333333333,603,0.259732633726684,443,0.10936646740942,2018,1.17426090398546,0.997135460442384,1.00760825605255,0.0447761194029851,0.122719734660033,0.0519187358916479
E01006438,5,0.099,431,0.0666028217974997,0,0,0,0,1.11983250951441,0.0653630331667089,1.0193908408707,0.893719904344003,0.893719904344003,1.0724638852128,1.0724638852128,1.34950820467531,0.998128755355188,1.02129428130417,0.0649651972157773,0.693735498839907,0.0692307692307692,0.693735498839907,0.104408352668213,431,0.705032815135653,260,0.0722351111051118,2018,0.786678393050981,1.0193908408707,0.998128755355189,0.0440835266821346,0.424593967517401,0.0538461538461539
E01006439,2,0.22,678,0.0926440631267559,0,0,0,0,1.11983250951441,0.0910594763785859,1.00273489158151,0.893719904344003,0.893719904344003,1.0724638852128,1.0724638852128,1.37551116303185,1.00225037794528,1.00055951473956,0.0943952802359882,0.476401179941003,0.103529411764706,0.476401179941003,0.212389380530973,678,0.48003275333146,425,0.102319133388976,2018,1.09426418790271,1.00273489158151,1.00225037794528,0.0398230088495575,0.250737463126844,0.0470588235294118
E01006440,1,0.422,559,0.13877102606024,0,0,0,0,1.14625930252654,0.146932936964422,1.00567176671011,0.893719904344003,0.893719904344003,0.955216085438785,1.0724638852128,1.65134896667731,1.00477406972352,1.00066054876932,0.137745974955277,0.323792486583184,0.148325358851675,0.323792486583184,0.422182468694097,559,0.326090670419289,418,0.150367471262452,2018,1.63909223118237,1.00567176671011,1.00477406972352,0.0769230769230769,0.161001788908766,0.0885167464114833
E01006441,2,0.227,1155,0.0547511922635024,0,0,0,0,1.14625930252654,0.051414668375156,0.994989062864161,0.893719904344003,0.893719904344003,0.933193757928677,1.0724638852128,1.8394465376739,1.00065331094506,0.994223240711874,0.0554112554112554,0.262337662337662,0.0578512396694215,0.262337662337662,0.211255411255411,1155,0.259779113573927,847,0.0573327044264878,2018,0.64669301968065,0.994989062864162,1.00065331094506,0.025974025974026,0.116883116883117,0.0283353010625738
E01006442,1,0.394,630,0.0734894884697912,0,0,0,0,1.11983250951441,0.0656522373081018,0.999386510019788,0.893719904344003,0.893719904344003,0.955216085438785,1.0724638852128,1.56945233607645,1.00357984805079,0.995808698387002,0.0746031746031746,0.211111111111111,0.0798479087452472,0.211111111111111,0.384126984126984,630,0.209516644419263,526,0.0790617963374115,2018,0.868020169946076,0.999386510019789,1.00357984805079,0.0349206349206349,0.0936507936507937,0.0399239543726236
E01006443,1,0.433,656,0.130721315217886,0,0,0,0,1.14625930252654,0.124395450666198,1.00769550579276,0.893719904344003,0.893719904344003,1.0724638852128,1.0724638852128,1.40263994558439,1.00512793562438,1.00233081220337,0.132621951219512,0.307926829268293,0.151209677419355,0.307926829268293,0.448170731707317,656,0.307426222793627,496,0.149550153831698,2018,1.54401317268179,1.00769550579276,1.00512793562438,0.0594512195121951,0.146341463414634,0.0705645161290323
E01006444,1,0.412,472,0.115444001340329,0,0,0,0,1.14625930252654,0.109098160928762,1.01121982592818,0.893719904344003,0.893719904344003,1.0724638852128,1.09777283174427,1.50428366250687,1.00459774429523,1.0064091019266,0.116525423728814,0.313559322033898,0.111959287531807,0.313559322033898,0.398305084745763,472,0.31450247796208,393,0.111640457246819,2018,1.36356537171815,1.01121982592818,1.00459774429523,0.0572033898305085,0.156779661016949,0.0585241730279898
E01006445,1,0.406,500,0.115489192987057,0,0,0,0,1.14625930252654,0.115918783054239,1.00300541659376,0.893719904344003,0.893719904344003,0.955216085438785,1.0724638852128,1.65134896667731,1.00411296616936,0.998930637222937,0.118,0.31,0.124031007751938,0.31,0.404,500,0.312379251180796,387,0.122097805348103,2018,1.36409915228581,1.00300541659376,1.00411296616936,0.046,0.148,0.0516795865633075
E01006446,1,0.408,589,0.170680417701248,0,0,0,0,1.14625930252654,0.162987212357489,1.01252319688288,0.893719904344003,0.893719904344003,1.0724638852128,1.0724638852128,1.47917949506928,1.00397682398374,1.00873342056685,0.169779286926995,0.421052631578947,0.170168067226891,0.421052631578947,0.402376910016978,589,0.424975087067045,476,0.173064824090859,2018,2.01598960973045,1.01252319688288,1.00397682398374,0.0967741935483871,0.229202037351443,0.109243697478992
E01006447,1,0.415,520,0.133732841908938,0,0,0,0,1.14625930252654,0.123265149660372,0.982906688864291,0.893719904344003,0.893719904344003,0.914810693120228,1.0724638852128,1.61214150198154,1.00387270066511,0.979059358393324,0.136538461538462,0.363461538461538,0.141327623126338,0.363461538461538,0.390384615384615,520,0.357660908835619,467,0.138139052209401,2018,1.57958378236482,0.982906688864292,1.00387270066511,0.0596153846153846,0.15,0.0599571734475375
