year,acorn_LSOA2011,rni,rni_N,rni_sa1,rni_sa1_N,rni_sa2,rni_sa2_N,rni_health_vuln,rni_health,rni_big_pc,rni_big_sa1_pc,rni_big_sa2_pc,lowEPC_pc,poverty_pc,eligibility_pc,eligibility_sa1_pc,eligibility_sa2_pc,imd_dec,imd_inc_score
2025,E01006412,0.486659029238311,609,0.134681198523311,609,0.360132252396658,506,1.01614683852897,1.00623190102073,0.0213464696223317,0.0410509031198686,0.0237154150197628,0.077175697865353,0.494252873563218,0.0426929392446634,0.077175697865353,0.0395256916996047,1,0.466
2025,E01006413,3.0484781239726,769,0.986874317169098,769,2.42537442252235,737,0.978613181196537,1.00336081879579,0.081924577373212,0.218465539661899,0.0841248303934871,0.58257477243173,0.444733420026008,0.275682704811443,0.58257477243173,0.279511533242877,1,0.462
2025,E01006414,0.468992196197505,564,0.258750583028875,564,0.45100892880899,420,1.01397130605392,1.00884001663812,0.0212765957446809,0.0815602836879433,0.0261904761904762,0.147163120567376,0.336879432624114,0.0407801418439716,0.147163120567376,0.05,1,0.335
2025,E01006415,0.785803200921041,740,0.493604775657549,740,0.663030352845848,567,1.00469799641397,1.00236724473578,0.0445945945945946,0.168918918918919,0.0511463844797178,0.277027027027027,0.256756756756757,0.0662162162162162,0.277027027027027,0.0705467372134039,2,0.247
2025,E01006416,0.945251822516385,616,0.441782767545304,616,0.875648485409035,462,1.00573761219604,1.00514360660967,0.0454545454545455,0.155844155844156,0.0562770562770563,0.248376623376623,0.36525974025974,0.0811688311688312,0.248376623376623,0.0952380952380952,1,0.376
2025,E01006417,1.15707544107385,505,0.505915750006679,505,1.10677750323825,380,1.01633829292687,1.0029352896375,0.0574257425742574,0.164356435643564,0.068421052631579,0.283168316831683,0.4,0.099009900990099,0.283168316831683,0.121052631578947,1,0.418
2025,E01006418,1.36013615963616,488,0.639241744757315,488,1.26638557199905,298,1.01181743913295,1.0069461851054,0.0614754098360656,0.225409836065574,0.0805369127516778,0.35655737704918,0.344262295081967,0.116803278688525,0.35655737704918,0.13758389261745,1,0.345
2025,E01006419,0.466735184613059,537,0.997338255375066,537,0.661273353783789,260,0.990933087494896,0.997193111534612,0.0279329608938548,0.312849162011173,0.0576923076923077,0.571694599627561,0.0707635009310987,0.0391061452513967,0.571694599627561,0.0692307692307692,5,0.074
2025,E01006420,0.279633954836184,899,0.756990182790081,899,0.243151686057902,590,0.996021244532254,0.995858610050725,0.017797552836485,0.244716351501669,0.0220338983050847,0.432703003337041,0.0723025583982203,0.0233592880978865,0.432703003337041,0.0254237288135593,6,0.07
2025,E01006421,0.399974185603741,393,1.11097864677561,393,0.468231399127567,184,1.00101599517077,0.995086355817904,0.0279898218829517,0.356234096692112,0.0434782608695652,0.636132315521629,0.0559796437659033,0.0330788804071247,0.636132315521629,0.0489130434782609,7,0.058
2025,E01006422,0.857950736019368,491,0.921135422169817,491,0.928149126941453,229,1.02058726101741,1.00218949612999,0.044806517311609,0.34826883910387,0.0655021834061135,0.515274949083503,0.126272912423625,0.0733197556008147,0.515274949083503,0.100436681222707,5,0.105
2025,E01006423,0.318048177707409,472,0.86698937492142,472,0.396293727512654,207,1.00278806185145,0.998591985852774,0.0148305084745763,0.281779661016949,0.0241545893719807,0.495762711864407,0.0550847457627119,0.0275423728813559,0.495762711864407,0.0434782608695652,6,0.054
2025,E01006424,0.378627716782873,687,1.09595739183128,687,0.420037918081939,320,1.00349449289637,0.99954074092571,0.0218340611353712,0.365356622998544,0.0375,0.622998544395924,0.0625909752547307,0.0320232896652111,0.622998544395924,0.04375,6,0.065
2025,E01006425,0.695531736295037,474,0.760889889552799,474,0.660072461989958,286,0.996385745838771,0.999918996886415,0.0379746835443038,0.225738396624473,0.0524475524475525,0.438818565400844,0.166666666666667,0.0590717299578059,0.438818565400844,0.0699300699300699,3,0.163
2025,E01006426,1.27481930553795,547,0.532657968859667,547,1.04245999885725,415,1.01127681871913,1.00407800089507,0.0639853747714808,0.170018281535649,0.072289156626506,0.303473491773309,0.360146252285192,0.109689213893967,0.303473491773309,0.113253012048193,1,0.367
2025,E01006427,1.16410982385735,540,1.23659913357342,540,1.33431364369858,255,1.01557804254975,1.00009993182302,0.0777777777777778,0.464814814814815,0.133333333333333,0.692592592592593,0.127777777777778,0.0962962962962963,0.692592592592593,0.137254901960784,5,0.123
2025,E01006428,1.46874365203229,577,0.699857142212117,577,1.17946648222444,405,1.00557675601551,1.00457917806447,0.0779896013864818,0.21317157712305,0.091358024691358,0.400346620450607,0.294627383015598,0.124783362218371,0.400346620450607,0.125925925925926,2,0.277
